Id,Price (EUR),Transmission,Number of Gears,Body Type,Number of seats,Drive wheel,Fuel Type,Number of Cylinders,Volume of engine,Power,Max Torque,Top Speed,Acceleration to 100km/h,Combined consumption l/100km
16226,14317,4 speed manual transmission,4,"5-doors, hatchback",5,rear,gasoline,4,1597,75,123,165.0,14.2,7.7
16263,14535,5 speed manual transmission,5,"5-doors, hatchback",5,rear,gasoline,4,1597,71,119,163.0,14.9,8.0
16278,13958,4 speed manual transmission,4,"4-doors, sedan",5,rear,gasoline,4,1597,75,123,165.0,14.2,7.7
16311,14108,5 speed manual transmission,5,"4-doors, sedan",5,rear,gasoline,4,1597,71,119,163.0,14.9,8.0
16324,13731,4 speed manual transmission,4,"5-doors, station wagon",5,rear,gasoline,4,1593,75,123,162.0,14.7,8.1
16357,15283,4 speed manual transmission,4,"5-doors, station wagon",5,rear,gasoline,4,1597,75,123,162.0,14.7,8.1
16379,15156,5 speed manual transmission,5,"5-doors, station wagon",5,rear,gasoline,4,1597,71,119,163.0,15.7,8.1
16389,30825,4 speed automatic,4,"4-doors, sedan",5,front,gasoline,6,2966,129,205,180.0,NaN,9.5
16393,34034,4 speed automatic,4,"4-doors, sedan",5,front,gasoline,6,2967,203,272,210.0,8.6,NaN
16394,33811,4 speed automatic,4,"5-doors, station wagon",5,front,gasoline,6,2966,129,205,180.0,NaN,9.5
16396,29885,5 speed automatic,5,"2-doors, coup&eacute;",5,rear,gasoline,8,4603,205,359,210.0,9.0,11.1
16397,17645,5 speed manual transmission,5,"5-doors, mpv",5,front,gasoline,4,1796,115,160,170.0,12.7,8.3
16403,26250,5 speed manual transmission,5,"5-doors, mpv",5,front,diesel,4,1753,90,220,154.0,15.2,6.4
16407,23400,5 speed manual transmission,5,"5-doors, mpv",5,front,diesel,4,1753,90,220,154.0,15.2,6.4
16415,33543,4 speed automatic,4,"5-doors, mpv",7,front,gasoline,6,2986,147,230,180.0,13.5,10.5
16418,33743,4 speed automatic,4,"5-doors, mpv",7,front,gasoline,6,2986,147,253,168.0,12.6,13.2
16422,9073,5 speed manual transmission,5,"3-doors, hatchback",0,front,gasoline,4,1602,80,127,158.0,13.0,9.0
16424,9981,5 speed manual transmission,5,"3-doors, hatchback",0,front,gasoline,4,1602,80,127,170.0,12.1,8.5
16429,11342,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1598,90,125,172.0,12.5,7.5
16433,15174,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1955,106,153,186.0,10.0,8.1
16445,21300,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1850,136,175,205.0,10.6,8.4
16451,24145,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1850,136,175,205.0,11.1,8.6
16456,9527,5 speed manual transmission,5,"4-doors, sedan",0,front,gasoline,4,1602,80,127,162.0,13.5,9.1
16458,11342,5 speed manual transmission,5,"4-doors, sedan",0,front,gasoline,4,1602,80,127,170.0,14.6,8.7
16462,11796,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,90,125,170.0,12.7,7.8
16468,14653,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,88,122,175.0,11.9,7.5
16482,18237,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1997,110,159,184.0,10.9,8.6
16492,18147,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1997,116,172,197.0,10.8,8.2
16501,18147,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1850,116,158,195.0,11.3,8.3
16518,19485,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1590,115,140,190.0,12.2,8.2
16529,23690,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1850,136,175,205.0,10.9,8.6
16537,28660,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1998,155,190,220.0,9.6,7.7
16549,29200,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1998,155,190,220.0,9.6,7.7
16564,31800,6 speed manual transmission,6,"4-doors, sedan",5,front,gasoline,4,1997,156,192,215.0,9.4,7.2
16583,29990,6 speed manual transmission,6,"4-doors, sedan",5,front,gasoline,4,1997,156,192,215.0,9.3,6.9
16605,24500,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1997,133,182,193.0,9.2,9.2
16608,30610,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1998,155,190,205.0,9.9,8.3
16620,31500,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1998,155,190,205.0,9.9,8.3
16635,33450,6 speed manual transmission,6,"5-doors, station wagon",5,front,gasoline,4,1997,156,192,212.0,9.8,7.3
16652,31990,6 speed manual transmission,6,"5-doors, station wagon",5,front,gasoline,4,1997,156,192,212.0,9.7,7.0
16674,24454,5 speed manual transmission,5,"2-doors, coup&eacute;",4,front,gasoline,4,1997,136,184,200.0,10.2,8.8
